,predict,relation
18990,PersonX starts school to make new friends.,xWant
18991,PersonX falls asleep.,xReact
18992,PersonX takes a nap.,xReact
18993,PersonX pushes PersonY's plate away.,xIntent
18994,PersonX waits in line for hours.,xReact
18995,PersonX catches up with old family stories with PersonX's uncle.,oReact
18996,PersonX raises money to the level == high enough to fund the project.,xIntent
18997,PersonX receives a promotion at work.,xAttr
18998,"PersonX knows this person well == to thank that person, to be grateful to that person",oWant
18999,Person Y's new art installation.,xAttr
19000,PersonX opens the package == PersonX finds a surprise inside.,xAttr
19001,PersonX prevents the machine from turning on.,xAttr
19002,PersonX decides to watch a movie == PersonX opens Netflix and searches movie categories.,xNeed
19003,PersonX learns how to sail the boat.,xNeed
19004,PersonX controls their temper to feel good about themselves.,xReact
19005,PersonX reveals a secret to PersonY.,xReact
19006,PersonX gets out of the water and wipes their body dry.,xEffect
19007,PersonX calls customer service often to use an item or service requested via the call.,xWant
19008,PersonX decides to buy a new dress.,xWant
19009,PersonX puts away their books and organizes their desk.,xAttr
19010,PersonX solves a difficult math problem.,xIntent
19011,PersonX eats the bowl of cereal.,xAttr
19012,PersonX takes shelter to stay dry from the rain.,xIntent
19013,PersonX gives a victory speech.,xIntent
19014,PersonX sets a new record == to achieve fame and recognition.,xIntent
19015,PersonX needs a new haircut == Go to the barber.,xWant
19016,PersonX is angry.,xIntent
19017,PersonX cooks dinner for the family.,xAttr
19018,house.,oWant
19019,PersonX finishes their homework.,xReact
19020,PersonX is happy to see PersonY.,xAttr
19021,a new job opportunity.,xAttr
19022,PersonX goes to a party.,xWant
19023,PersonX is praised for their intelligence.,xAttr
19024,PersonX is stuck in a traffic jam.,xReact
19025,PersonX follows in detail the tutorial.,xReact
19026,PersonX changes their ways to act like PersonY.,xReact
19027,PersonX causes humans to apologise and express their grief.,xWant
19028,PersonY smiles and shakes PersonX's hand.,xAttr
19029,PersonX sees a crowd cheering.,oReact
19030,PersonX takes five-minute power nap.,xAttr
19031,PersonX asks PersonY about their music preferences.,xIntent
19032,PersonX can't stop smiling.,xReact
19033,PersonX decides to make cookies == to enjoy a tasty treat.,xIntent
19034,PersonX gives PersonY a healthy meal plan.,xAttr
19035,PersonX starts studying poker strategies.,xIntent
19036,PersonX gives PersonY a thumbs up.,xAttr
19037,PersonX goes fishing with PersonY's father.,xReact
19038,PersonY is eager to see what comes next.,xEffect
19039,PersonX wants to discuss their plans with PersonY.,oWant
19040,PersonY smiles.,oEffect
19041,PersonX puts the book back on the shelf.,xAttr
19042,PersonX supports PersonY's initiatives.,xIntent
19043,PersonX laughs it off.,xAttr
19044,PersonX feels proud and relieved.,xReact
19045,PersonX burns themselves.,xWant
19046,PersonY is grateful for the guidance.,oReact
19047,PersonX takes control of the situation.,xWant
19048,PersonX starts reading books on the topic.,xIntent
19049,PersonX practices the salsa.,xReact
19050,PersonX hosts a charity event.,xAttr
19051,PersonX asks PersonX's date out.,xNeed
19052,a week off from work,xNeed
19053,PersonX makes a dress == PersonX wants to stand out.,xIntent
19054,PersonX enjoys himself with his friends.,xEffect
19055,PersonX accidentally stepped on a banana peel.,xNeed
19056,dirty dishes,xIntent
19057,solitude,xReact
19058,People in the audience clap and cheer loudly.,oReact
19059,PersonX indulges in unhealthy eating habits.,xAttr
19060,PersonX asks for directions.,xAttr
19061,PersonX celebrates with their team.,xReact
19062,PersonX tries sushi for the first time == discovers a new favorite food.,xEffect
19063,PersonX feels proud of their quick problem-solving skills.,xEffect
19064,PersonX practices shooting at the range.,xWant
19065,PersonX fully expected the outcome.,xAttr
19066,PersonX lights the pipe and takes a deep breath.,xReact
19067,PersonY discovers a secret about PersonX.,xAttr
19068,"meeting, actively participates in discussion.",oEffect
19069,PersonX receives a scolding from their boss.,xAttr
19070,PersonX meets another Trekkie.,xNeed
19071,PersonX teaches PersonY a lesson.,oReact
19072,PersonX receives positive feedback from peers.,xAttr
19073,PersonX is thanked by personY.,xEffect
19074,PersonX learns to sew == PersonX buys a sewing kit.,xNeed
19075,PersonX returns PersonY's bike to their house.,xWant
19076,PersonY fastens the seatbelt.,oReact
19077,PersonX takes a break from work to eat lunch.,xIntent
19078,PersonX narrowly avoids a collision.,oWant
19079,PersonX shows confidence when providing directions.,xEffect
19080,PersonX makes a plan.,xIntent
19081,"""listens to PersonY's speech.""",xEffect
19082,PersonX takes off their hiking boots.,xWant
19083,PersonX starts going to the gym and eating healthier.,xWant
19084,PersonX earns money.,xAttr
19085,PersonX wins a race.,oReact
19086,PersonY is excited to have a new home.,oEffect
19087,PersonX buys a new phone from the store.,xReact
19088,PersonX avenges PersonX's father's killer.,xWant
19089,PersonX takes some medicine.,xNeed
19090,PersonX touches PersonY's jaw.,xNeed
19091,PersonX gathers information.,xIntent
19092,"""has a full fridge.""",oEffect
19093,PersonX loses the farm.,xEffect
19094,PersonX is taken to the hospital.,xAttr
19095,PersonX's friend gives them a ride home.,xReact
19096,PersonX receives a sponsorship deal from a sports company.,xReact
19097,PersonY takes care of PersonX.,oWant
19098,PersonX brings flowers to PersonY's mom.,oWant
19099,PersonX takes a nap.,xAttr
19100,"PersonX gives PersonY one more chance to get a new job, to save the current one.",xWant
19101,PersonX unlocks the front door.,xIntent
19102,Person X is unsure of their relationship with Person Y.,oWant
19103,PersonX calls a tow truck.,oReact
19104,Person X's fingers are numb.,xEffect
19105,PersonX introduces themselves to PersonY.,xNeed
19106,PersonX invites friend to lunch == friend brings dessert,xEffect
19107,PersonX receives a gift.,xAttr
19108,PersonX walks the line to stay sober.,xWant
19109,PersonX prepares the course.,xNeed
19110,PersonX is playing in the yard. == PersonX gets tired and decides to take a break.,xWant
19111,PersonX is surprised and gets greeted.,oEffect
19112,Feeds the dog.,xWant
19113,PersonX avenges PersonY's death == PersonX seeks closure.,xReact
19114,PersonX gets dressed for volunteering.,xNeed
19115,PersonX feels relaxed after spending the day together and goes to the park.,xEffect
19116,PersonX invites friends and family over to see their new home.,xWant
19117,PersonX finds a hidden treasure.,xWant
19118,PersonX is approached by many new friends.,xAttr
19119,PersonX uses PersonY's notebook to obtain insight into PersonY's thoughts and feelings.,xNeed
19120,to be near his mother.,xIntent
19121,PersonX reads PersonY's work == PersonX wants to learn more about PersonY's research.,xIntent
19122,PersonX reads every morning.,xEffect
19123,PersonX politely declined to schedule a new event with x.,oWant
19124,PersonX finishes cleaning PersonY's house.,xAttr
19125,PersonY pulls his hand back.,xIntent
19126,PersonX celebrates with friends and family.,xReact
19127,PersonX takes a nap.,xReact
19128,PersonX schedules a meeting with PersonY.,xWant
19129,PersonY shares their art.,xIntent
19130,PersonX decides to drive home == PersonX buys a car.,xNeed
19131,PersonX jerks PersonY's head because PersonY stole their lunch.,oReact
19132,to explore the city.,xIntent
19133,PersonX helps PersonY finish their project.,xIntent
19134,PersonX asks insightful questions.,oWant
19135,PersonX takes on additional projects.,xIntent
19136,PersonX cleans up the dishes.,xWant
19137,artistic creations,xReact
19138,PersonX sings the song.,xReact
19139,PersonX eats a lot of food == obese,xAttr
19140,"""PersonY buys PersonX a new set of paint brushes.""",oWant
19141,PersonX considers the problem in detail.,xIntent
19142,PersonX steals PersonY's wallet.,xAttr
19143,PersonX gets smacked.,xEffect
19144,PersonX buys a new comic book.,xNeed
19145,PersonX plays basketball at school.,xReact
19146,PersonX catches the bus.,xIntent
19147,PersonX sells homemade cookies on the street.,xIntent
19148,PersonX looks at PersonY's wife == gets punched by PersonY.,xEffect
19149,PersonX sees a stranger.,xReact
19150,PersonX is hungry.,xIntent
19151,PersonX quickly made a decision and regretted it later.,xEffect
19152,PersonX gives the class a bonus assignment.,xReact
19153,PersonX teaches children the alphabet.,xWant
19154,"PersonX takes turns at the game booth, winning a prize.",oReact
19155,PersonX starts playing games on their phone.,xEffect
19156,PersonX expresses gratitude towards PersonY.,oReact
19157,PersonY regrets dying PersonX's hair.,xAttr
19158,PersonX learns a new skill.,oWant
19159,PersonX introduces themselves to everyone.,xNeed
19160,PersonX pays for a new restaurant to try out their food.,xWant
19161,PersonX turns on the light.,xAttr
19162,PersonX keeps my mouth shut == stays out of trouble.,xEffect
19163,PersonX apologizes to PersonY.,xEffect
19164,PersonX gets a book deal.,xEffect
19165,PersonX drives slowly to ensure the safety of pedestrians.,xWant
19166,picks up the brick.,xEffect
19167,PersonY asks PersonX out for coffee.,oWant
19168,PersonX makes the house better.,xIntent
19169,PersonX accomplishes their goal effectively.,xAttr
19170,PersonX makes PersonX's own sauce == to eat a delicious meal.,xIntent
19171,PersonX follows another sign.,xEffect
19172,PersonX and friends decide to get pizza together.,xIntent
19173,PersonX smiles and blushes after winning.,xEffect
19174,PersonX dreams last night leads to them feeling happy all day.,oWant
19175,PersonX lets the speeding driver off with a warning.,xWant
19176,PersonX crafts in their spare time.,xAttr
19177,belongings,xNeed
19178,PersonX loses all their money.,xAttr
19179,PersonY is relieved.,xReact
19180,The men are taken to the hospital.,oEffect
19181,PersonX gets a phone call.,xAttr
19182,PersonY apologizes for their mistake.,oReact
19183,PersonX honking the horn causes traffic to move.,xIntent
19184,PersonX celebrates their birthday with family and friends.,xAttr
19185,PersonX writes a formal request for a salary increase.,xNeed
19186,PersonX cools down and drinks water.,xEffect
19187,PersonX's feet hurt.,xIntent
19188,PersonX cooks a meal for PersonY.,xReact
19189,PersonX finds PersonY's compass around.,xWant
19190,PersonX completes all the needed research.,xNeed
19191,PersonY expresses gratitude to PersonX.,xAttr
19192,PersonX cooks at home == has dishes to clean.,xEffect
19193,"PersonX likes cooking, though to date PersonY, to spend more time with PersonY.",xWant
19194,PersonX receives a promotion.,xEffect
19195,PersonX looks around and notices PersonY.,xNeed
19196,PersonX practices for hours.,xNeed
19197,PersonX successfully balances all the eggs in the basket.,xAttr
19198,PersonX uses PersonX's innovative ideas to secure a promotion.,xReact
19199,"PersonX receives  a promotion from others == pleased, happy",oReact
19200,Helps PersonY pack their belongings.,xNeed
19201,PersonX loses every game.,xReact
19202,PersonX learns of the news.,xEffect
19203,PersonX feels proud.,xWant
19204,PersonY laughs uncontrollably.,xReact
19205,PersonX stubs their toe.,xAttr
19206,PersonX greets their friend at the door.,xAttr
19207,PersonX is promoted to a leadership position.,xAttr
19208,PersonX wins the chess game.,oReact
19209,PersonX loses their money.,xEffect
19210,PersonX finishes the project on time.,xReact
19211,PersonY fights back.,oWant
19212,PersonX takes a nap.,xWant
19213,PersonX proposes to PersonY.,oReact
19214,PersonX decides to pursue their dream of traveling the world.,xAttr
19215,PersonX walks home from school.,xAttr
19216,PersonX cooks pasta on the stove == eat the food they made.,xWant
19217,PersonX is grateful for PersonY's help.,xEffect
19218,PersonX breaks the enemy's shield,xAttr
19219,PersonX wakes up with a smile on their face.,xReact
19220,PersonX checks the time on their phone.,xAttr
19221,PersonY defends themself.,oWant
19222,"PersonX lays PersonX's clothes together == to be organized, to be prepared",xIntent
19223,PersonX puts a fresh bouquet of flowers on the counter.,oReact
19224,PersonX always walked leads to strong leg muscles and a natural scent.,xEffect
19225,PersonX throws a farewell party.,xReact
19226,"PersonX pushes PersonY's ideas far == to think more about what he told person Y, ""hear Person Y's reaction""",xWant
19227,PersonX gets accused of starting a fight.,xIntent
19228,PersonX hears a bad idea.,xNeed
19229,PersonX opens the front door for PersonY.,xIntent
19230,PersonX takes a deep breath == start running,xWant
19231,PersonX gives an interview gets a job offer.,xReact
19232,PersonY is promoted to a new position.,xEffect
19233,,xIntent
19234,PersonX tells PersonY about their plan to travel abroad.,oReact
19235,PersonX pushes the door aside.,xReact
19236,PersonX goes across the street == PersonX reaches the other side safely,oWant
19237,PersonX is now left without any support.,oReact
19238,To give PersonX advice.,oWant
19239,a high five,oReact
19240,PersonX prepares a delicious meal.,xWant
19241,PersonY shares the news with others.,xAttr
19242,PersonX explores Times Square for the first time.,xWant
19243,PersonX follows the rules.,xReact
19244,"PersonX wants something different == ""they look at things they normally dont look at"", they take risks",xEffect
19245,PersonY feels comfortable and safe.,xAttr
19246,PersonX checks the map on their phone.,xIntent
19247,PersonY and PersonX have a discussion.,oEffect
19248,PersonY smiles at PersonX.,oReact
19249,PersonX sees PersonY's aunt == PersonX quickly looks away.,oWant
19250,PersonX gets hired for the job.,xIntent
19251,PersonX sets PersonY in motion to go home.,oWant
19252,PersonY prepares to move to a new city.,xIntent
19253,PersonX is exhausted and immediately goes to bed.,xNeed
19254,PersonX buys PersonY's flowers because they want to surprise their partner.,xNeed
19255,PersonX finishes updating their resume.,oWant
19256,PersonX saves up to travel the world.,xAttr
19257,PersonX completes their homework.,xAttr
19258,PersonX gives her baby a pretty name.,xIntent
19259,PersonX obliterates every zombie.,xIntent
19260,PersonX joins a club at school.,xIntent
19261,a new car,xEffect
19262,PersonX would hire PersonY.,oReact
19263,PersonX takes the dog home to care for it.,xEffect
19264,PersonX gets good grades == PersonX wants to celebrate their achievement.,xWant
19265,PersonX wears men's pants.,xWant
19266,PersonX spends the night alone.,xAttr
19267,PersonY gives PersonX a heartfelt thank you.,xEffect
19268,PersonX surprises PersonY's friend == PersonY's friend tells PersonY about the surprise.,xWant
19269,PersonX sweats heavily after the basketball game.,xEffect
19270,PersonX puts PersonY's mail on the counter.,xWant
19271,a mysterious looking box.,xWant
19272,detailed explanation,xWant
19273,PersonY's well-being.,xReact
19274,PersonX finishes the project.,xIntent
19275,PersonX makes a move == feels nervous and anxious.,xEffect
19276,PersonX eats food they are allergic to.,oEffect
19277,instrument,xIntent
19278,PersonX tries to cover up the accident.,xAttr
19279,PersonX performs a dance routine.,xIntent
19280,PersonX accidentally cuts themselves while cooking.,xNeed
19281,Person X gains new insights.,xEffect
19282,PersonX gets up and tries again.,xWant
19283,PersonX uses crutches to get in an accident.,xNeed
19284,PersonY's assistant.,xWant
19285,PersonY confirms the meeting.,xEffect
19286,PersonX runs away.,xWant
19287,PersonX creates a beautiful self-portrait.,xAttr
19288,PersonX smiles enthusiastically.,xEffect
19289,PersonX starts planning an elaborate scheme.,xIntent
19290,PersonX takes PersonY's anger == PersonX wants to diffuse the situation.,oWant
19291,PersonX puts their arm around PersonY because they want to comfort them.,xIntent
19292,opportunity,oWant
19293,PersonY cries.,xAttr
19294,PersonX takes a book.,xWant
19295,PersonX confronts the person who stole their wallet.,oReact
19296,PersonX gathers PersonY's breadcrumbs under PersonX's wings.,xEffect
19297,PersonX tells a funny joke.,xWant
19298,PersonX enters the pool.,xAttr
19299,PersonX locks the bike.,xNeed
19300,PersonX gets angry when people aren't serious.,xEffect
19301,PersonX leaves my phone == PersonX misses a call.,oEffect
19302,PersonX puts away leftovers.,xWant
19303,Person Y is frustrated.,xNeed
19304,PersonY seeks revenge.,xIntent
19305,PersonX kisses PersonY on the cheek.,xReact
19306,PersonX develops a new algorithm.,xNeed
19307,PersonX hires immediately results in the need for the hirees to fill out paperwork.,xWant
19308,PersonX watches their favorite team win the championship.,xAttr
19309,PersonX volunteers at a local hospital.,xNeed
19310,PersonX sings a lullaby to PersonY.,xAttr
19311,PersonX starts singing along.,xEffect
19312,PersonX gets into a fight with someone.,oReact
19313,PersonX searches frantically for the keys.,xAttr
19314,PersonX practices every day.,xIntent
19315,PersonX creates a delicious new recipe.,xAttr
19316,"PersonX cancels the date, leaving PersonY disappointed.",oReact
19317,PersonX reads a book.,xWant
19318,PersonX goes home after work to rest.,xIntent
19319,PersonX ends 31 march == to start a new job.,xWant
19320,PersonX stays the same.,xWant
19321,PersonX works overtime at a second job.,xNeed
19322,PersonX introduces PersonY to a new hobby.,xReact
19323,PersonY shows affection towards PersonX.,oReact
19324,PersonX arrives at the airport.,xWant
19325,"To welcome PersonX, soccer team members bring snacks and drinks.",oWant
19326,PersonX makes a new friend.,xEffect
19327,PersonX reads the menu carefully.,xAttr
19328,PersonX takes deep breaths to calm down.,xWant
19329,PersonX never saw the police questioning him.,xNeed
19330,PersonY asks for more details.,oReact
19331,PersonX serves PersonY's community well.,xEffect
19332,PersonX brings the groceries into contact with the kitchen counter.,xReact
19333,PersonX goes to the zoo to watch the pandas.,xWant
19334,PersonY thanks PersonX.,oReact
19335,PersonX finishes on time = prepared and organized.,xAttr
19336,PersonX checks the weather forecast.,xIntent
19337,PersonX wants to borrow PersonY's book.,xNeed
19338,PersonX determines a weight loss plan.,xNeed
19339,PersonX reduces the budget by a factor.,oReact
19340,PersonX talks to all of PersonY's friends.,oWant
19341,PersonX takes it apart to see how it works.,xIntent
19342,PersonX avoids getting sunburned.,xReact
19343,PersonY listens attentively.,xReact
19344,PersonX asks PersonY's boss to give them a promotion.,xWant
19345,PersonY smiles and gives PersonX a hug.,xReact
19346,PersonY realizes their mistake and apologizes to PersonX.,xEffect
19347,PersonX asks a question.,xEffect
19348,PersonX joins a gym.,xEffect
19349,PersonX wins the game.,xAttr
19350,PersonX watches a movie for entertainment.,xIntent
19351,PersonX falls down.,xAttr
19352,PersonX would beat up PersonY.,xWant
19353,PersonX agrees to complete PersonY's orders.,xAttr
19354,PersonY enjoys a delicious treat.,xIntent
19355,PersonX sits near me and raises their arm.,xNeed
19356,PersonX returns home that evening.,xEffect
19357,PersonX reaches out to PersonY to schedule another meeting.,xReact
19358,PersonX gathers the ripe crops.,xReact
19359,"PersonX loses the game == PersonX gives a poor performance, not playing at 100%",xNeed
19360,PersonX is preparing for a difficult exam.,xEffect
19361,PersonX tries to read a book but ends up laughing.,oReact
19362,PersonX buys PersonY a team jersey.,xAttr
19363,PersonX reveals a secret to PersonY == PersonY to keep it confidential.,xWant
19364,PersonX orders a salad instead of an entree.,oEffect
19365,PersonX organizes their items for sale.,xAttr
19366,PersonX comes live with PersonY to support him.,oWant
19367,PersonX sees a spider and screams.,xEffect
19368,PersonY opens the door and invites PersonX inside.,oReact
19369,PersonX feels sad about not being able to afford one.,xAttr
19370,PersonX goes to a party with PersonX's friend.,xAttr
19371,PersonX gathers study materials for the lessons.,xNeed
19372,PersonX helps students with their homework.,xAttr
19373,PersonX checks their mailbox and finds no mail.,xReact
19374,PersonX saves PersonY from drowning in the pool.,xAttr
19375,PersonX has fun meeting new people.,oWant
19376,PersonX takes PersonY on a date = goes to a fancy dinner.,xEffect
19377,PersonY takes on the responsibility of caring for the entrusted item.,oEffect
19378,PersonX takes a nap.,oWant
19379,PersonX celebrates their success.,xAttr
19380,PersonX reaches the mountain summit.,xAttr
19381,PersonX asks PersonY what time it is.,xAttr
19382,PersonX goes straight to bed.,xAttr
19383,PersonX starts running.,xNeed
19384,PersonX takes the person where they need to go.,xWant
19385,PersonX makes assumptions about PersonY being deceptive.,oReact
19386,PersonX gives a speech.,xWant
19387,PersonX wins $100.,xWant
19388,PersonX takes a break and relaxes.,xWant
19389,PersonX plays a different sport.,xWant
19390,PersonY gives PersonX a raise.,xEffect
19391,Son hands the phone to Person X.,xWant
19392,PersonY feels proud.,oWant
19393,PersonY gets frustrated.,xIntent
19394,PersonX sees the exam questions.,xReact
19395,PersonY smiles and hugs PersonX.,oEffect
19396,PersonX solves another difficult math problem.,xReact
19397,PersonX finishes his coffee.,xNeed
19398,PersonX uses PersonX's cell phone to text a friend.,xIntent
19399,PersonX drives carefully and waves to a passing car.,xWant
19400,PersonX discovers a new recipe.,xReact
19401,PersonX pranks their friend.,oWant
19402,PersonX starts making decisions on their own.,xAttr
19403,PersonX tells entertaining stories.,xReact
19404,PersonX is concerned about PersonY's health.,xAttr
19405,PersonX drives to work.,xNeed
19406,pencil and eraser,xIntent
19407,Prepare a bunch of food.,xNeed
19408,PersonX accepts the offer.,xAttr
19409,PersonX helps PersonY with their work.,xNeed
19410,PersonY tries to improve and prove their worth.,xEffect
19411,PersonX gives PersonY counsel == PersonY feels nervous.,xReact
19412,PersonX learns the hard way == PersonX gains valuable experience.,xAttr
19413,PersonX sets the facts straight.,xNeed
19414,PersonY goes to the store to buy more food.,xAttr
19415,PersonX starts working at a local restaurant.,xWant
19416,PersonX spends money with PersonX's friends.,xWant
19417,PersonX hears a loud noise.,xAttr
19418,Person X eats Person Y's cake.,oEffect
19419,PersonX was always causing conflict.,xIntent
19420,PersonX fills PersonY's mind with false information.,xAttr
19421,PersonX drops the class == PersonX gets a refund.,xWant
19422,PersonX mows lawns == makes the yard look tidy.,xEffect
19423,"PersonX tells a funny joke, causing others to burst into laughter.",xEffect
19424,PersonX takes a lion for a walk,xAttr
19425,PersonX sets the alarm == they want to wake up early.,xIntent
19426,PersonX apologizes to their friend for being late.,xWant
19427,PersonX takes a cruise on vacation.,xEffect
19428,PersonY gives feedback.,xWant
19429,PersonX starts eating more fruits and vegetables.,xAttr
19430,PersonX receives a reply.,xReact
19431,PersonX reception was a huge success.,oReact
19432,PersonX bakes a cake for PersonY's boyfriend.,xEffect
19433,PersonX retires every day.,xNeed
19434,PersonX takes public transportation all day.,xAttr
19435,PersonX passes quickly == family members and friends mourn and arrange a funeral.,xEffect
19436,PersonX puts a banana peel in front of PersonY.,xAttr
19437,PersonX is focused on achieving their objectives.,xReact
19438,PersonX prevents the child from getting lost.,xReact
19439,PersonX tests PersonX's skills == they find out their strengths and weaknesses.,xIntent
19440,PersonX gets a new job offer.,oEffect
19441,funny videos,xEffect
19442,PersonY is devastated.,xEffect
19443,PersonX thinks of ways to fix the mistake.,xAttr
19444,PersonX puts a fishing net in the water.,xIntent
19445,PersonX leaves the tournament feeling disappointed.,xWant
19446,PersonX goes to PersonY's mother's surprise birthday party.,xAttr
19447,PersonX arrives back to greet their friends and tell them what happened.,oWant
19448,PersonX is relieved to have their laptop back.,oReact
19449,PersonX continues to work hard despite facing challenges.,xReact
19450,PersonX sees an empty wallet.,xReact
19451,PersonX goes on a road trip with friends.,oEffect
19452,PersonX serves PersonY a cup of coffee.,xIntent
19453,PersonX starts dressing like PersonY.,xWant
19454,PersonX fits the job role well.,xAttr
19455,PersonY provides feedback on the overview.,oWant
19456,PersonX earns PersonY's bread == PersonX works hard to provide for PersonY.,xWant
19457,PersonX decorates the cake beautifully.,xAttr
19458,"PersonX has writer's block == unable to meet the deadline, sleeps",xEffect
19459,"PersonX falls off a truck
Relation: xReact
EventB: PersonX feels embarrassed and shaken.",xWant
19460,PersonX clarifies the misunderstanding with PersonY.,xNeed
19461,PersonX consults a map on their phone.,xAttr
19462,PersonX now goes on regular dates with their partner.,xEffect
19463,"PersonX continues down the same course, feels comfortable and happy.",xEffect
19464,PersonX gets a handle on the situation.,xAttr
19465,PersonY thanks PersonX.,xEffect
19466,PersonX finishes the work and goes back home.,xWant
19467,PersonX enters the restaurant together and sits down.,oWant
19468,PersonX recovers back the documents.,xWant
19469,PersonY says thank you and drinks their beverage.,oEffect
19470,PersonX feels anguish after biting the bullet.,oReact
19471,PersonX helps PersonY's daughter with her homework.,xAttr
19472,PersonX updates their resume.,xNeed
19473,PersonX finds a better price on the same item.,xIntent
19474,play basketball,xWant
19475,PersonX starts looking for job opportunities.,xIntent
19476,PersonX reduces the amount of junk food they consume.,xWant
19477,PersonX uses a guitar to play in the band.,xIntent
19478,PersonX enjoys spending time with PersonY.,oReact
19479,PersonX sees PersonY's dad.,xAttr
19480,PersonX trips while trying to run.,xAttr
19481,PersonX makes their will.,xWant
19482,PersonX is free from any accusation.,xReact
19483,PersonX finds the kitten.,xReact
19484,PersonX brings a first aid kit to a crisis.,oReact
19485,PersonX traces the clues in this book.,xNeed
19486,PersonX plays a role in bringing creativity to the project.,xAttr
19487,PersonX catches a fish == PersonX is excited.,xNeed
19488,PersonX grabs PersonY's chest == To feel his heartbeat.,xNeed
19489,PersonX decides on a destination.,xNeed
19490,PersonX goes to get another light.,xWant
19491,PersonX sets PersonX's plan in motion.,xAttr
19492,PersonX is using PersonY's computer.,oReact
19493,PersonX takes the dog for a walk == the dog plays fetch,xWant
19494,PersonX finds a new pair of shoes at the store.,xWant
19495,PersonX helps their mom with chores.,oWant
19496,PersonX is told about the incident.,xReact
19497,PersonX beams with pride.,xEffect
19498,PersonX succeeds in landing a triple axel jump.,xAttr
19499,PersonX walks into a bakery.,xReact
19500,PersonX solves a complex coding problem.,xAttr
19501,PersonX accidentally broke a vase.,xReact
19502,PersonX defeats every opponent to receive recognition and maintain strength.,xWant
19503,PersonX takes many pictures == PersonX is fulfilled.,xReact
19504,PersonX helps PersonY's mom with groceries.,xAttr
19505,PersonX tattles on PersonY.,xEffect
19506,PersonX asks PersonY on a date.,xEffect
19507,PersonX sees the ball go into the basket.,xEffect
19508,PersonX leaves behind a legacy of impressive work.,xAttr
19509,video games.,xNeed
19510,PersonX plays the new game.,xIntent
19511,PersonX rests at home.,xWant
19512,PersonX puts her assistant to work.,xAttr
19513,PersonX takes a shower.,oWant
19514,PersonX receives a promotion.,xIntent
19515,PersonX steals candy from the store.,oReact
19516,PersonX stays informed about PersonY's activities.,xEffect
19517,PersonX prepares breakfast for their family.,xAttr
19518,"PersonX seats beside PersonY == to talk to PersonY, ""to hold PersonYs hand""",xWant
19519,PersonX recently came == PersonX feels a sense of relaxation.,xEffect
19520,PersonY is being questioned by the police.,xEffect
19521,PersonX finds my keys.,oEffect
19522,PersonX organizes a fundraiser for PersonY's family.,xAttr
19523,PersonY expresses their gratitude to PersonX.,oWant
19524,,xEffect
19525,PersonY's girlfriend gets upset and breaks up with PersonX.,xReact
19526,Person X goes to bed.,xEffect
19527,PersonX makes a meal to eat.,xIntent
19528,PersonX reads the news == PersonX becomes more informed.,xReact
19529,PersonX raises the winner's hand in victory.,xWant
19530,PersonX receives a parking ticket.,oWant
19531,PersonX gets a promotion.,xEffect
19532,PersonX is proud of their self-control.,xReact
19533,his children to treat others with kindness and respect.,xIntent
19534,PersonX waits for the tow truck to arrive.,xReact
19535,a bone,xIntent
19536,PersonX prepares a strategic response.,xNeed
19537,PersonX is stuttering while giving a speech.,xReact
19538,PersonX joins a gym to get in better shape.,xReact
19539,PersonX puts the rest of the cash in their savings account.,xAttr
19540,PersonX is vacuuming the floors.,xReact
19541,PersonX gives it back.,xWant
19542,PersonX sees PersonY in the park.,oEffect
19543,PersonX takes a cruise on a vacation.,xReact
19544,PersonX uses PersonY's car to secure a job interview.,xIntent
19545,PersonX practices the violin.,xWant
19546,PersonY's son is grateful.,oWant
19547,PersonX plays basketball to meet up with his buddies.,xNeed
19548,PersonX spends the day at home == resting.,xReact
19549,PersonX observes PersonY's body language closely.,xNeed
19550,PersonX wants to help the environment.,xNeed
19551,PersonX dips a toe into the cool lake water.,xReact
19552,PersonX doesn't worry as much.,xEffect
19553,PersonX is relieved.,xReact
19554,PersonX dies in a car accident.,xNeed
19555,PersonX avoids taking on new challenges.,xReact
19556,PersonX wants to share their knowledge with PersonY's audience.,xWant
19557,PersonX searches the entire house for the missing glasses.,xAttr
19558,PersonX tells a joke.,xReact
19559,"PersonX explains why they made a mistake, apologizes to PersonY for misunderstanding.",xEffect
19560,PersonX finds PersonY's secret into the hands.,xAttr
19561,PersonY puts an arm around PersonX.,xAttr
19562,PersonX immediately threw a tantrum.,xWant
19563,PersonX falls asleep with a smile on their face.,xReact
19564,"PersonX arrives every day, so they need to go to work.",oWant
19565,PersonY gets annoyed with PersonX.,oReact
19566,PersonX gets a book from a friend == interested in reading,xAttr
19567,PersonX reduces PersonY's costs == PersonY implements cost-saving measures.,xNeed
19568,PersonY steps on a pile of mud.,xReact
19569,PersonY goes for a run.,xIntent
19570,PersonX convinces PersonY to go on a road trip with them.,xAttr
19571,PersonX calls the employee into the office to discuss a new project.,xWant
19572,PersonY apologizes for their actions.,oWant
19573,PersonX gets toothpaste and gets a toothbrush.,xNeed
19574,PersonX tells PersonY a scary story.,xIntent
19575,PersonX sells tickets to a concert.,xEffect
19576,PersonX takes a picture of their fixed nose.,xWant
19577,PersonX goes home.,xWant
19578,PersonX finds a new source of light.,xEffect
19579,PersonX gathers the feed for the chickens.,xNeed
19580,PersonX gets a raise.,xEffect
19581,PersonX hears about the gossip.,xEffect
